,Convert to categorical,,,,,,,,,,,,,,,,,,,,,,,,,,,
WeighBoat Code,OM%,% C,% N,Mangrove,Site,Avg OM,Avg %C,AVG %C,STD,Mangrove,Red Mangrove,,Black Mangrove,,,,,,site,OM% average,%N avg,Porosity,Leaf Litter,Crab Hole,Pneu,Mangrove,% N,STD
R SUN REDO 1A,9.905556776,3.136675291,167.670554,Red Mangrove,RSUN,11.92652078,3.618675207,3.774006803,1.606836687,Red mangrove,3.77,Black Mangrove,3.28,,,,,,R SUN,12,201.9501455,54,1.5,5.75,25,Red Mangrove,222.626466,118.9225041
R SUN REDO 1B,14.00130447,4.113511116,237.1426264,,RMON,15.02978644,4.358804067,,2.38807061,Black Mangrove,3.28,,,,,,,,R MON,15,248.3144977,61,2,10.7,15,Black Mangrove,168.9672945,154.3270246
R SUN REDO 1C,11.8727011,3.605839213,201.0372561,,RTAN,6.796992336,2.395282672,,,,,,,,,,,,R TAN,7,114.943084,41,0.08,13.7,13.7,,,
,,,-0.3475,,RLOB,26.59340479,7.116727043,,,,,,,,,,,,R LOB,27,450.7298321,77,1,21,5,,,
,,,-0.3475,,RTOY,9.254403019,2.98137512,,,,,,,,,,,,R TOY,9,156.625684,45,0.4,6.7,10,,,
,,,-0.3475,,RSTR,16.32951876,4.668790224,,,,,,,,,,,,R STR,16,276.6337972,56,1.6,7.3,2.7,,,
,,,-0.3475,,RFRI,6.457712643,2.314364465,,,,,,,,,,,,R FRI,6,109.1882219,40,1,11.7,13.3,,,
,,,-0.3475,,BSUN,8.234111645,2.738035627,,,,,,,,,,,,B SUN,8,139.3195017,52,1.8,3,2.3,,,
,,,-0.3475,,BTAN,6.268072565,2.269135307,,,,,,,,,,,,B TAN,6,105.9715469,40,0.6,5.3,53.7,,,
,,,-0.3475,Black Mangrove,BLOB,28.41973767,7.552307433,3.285003052,,,,,,,,,,,B LOB,28,481.7080903,72,2.8,6.3,43,,,
,,,-0.3475,,BTOY,6.13652625,2.237761511,,,,,,,,,,,,B TOY,6,109.3037848,42,0.9,2.7,26.7,,,
,,,-0.3475,,BSTR,8.701718089,2.330719823,,,,,,,,,,,,B STR,9,88.17439684,52,2.3,9.3,51.7,,,
B STR 3B,4.685136534,1.891605063,79.12178588,,,,,,,,,,,,,,,25.75696731,22.71107365,,,,,,,,,
B STR 3C,3.137728839,1.522548328,52.87465657,,,,,,,,,,,,,,,26.34700315,22.96290095,,,,,,,,,
B FRI 1A,3.124606501,1.519418651,52.65207547,,,,,,,,,,,,,,,,,,,,,,,,,
B FBI 1B,6.340945575,2.28651552,107.2076188,,,,,,,,,,,,,,,,,,,,,,,,,
B FBI 1C,8.101732845,2.706463284,137.0740925,,,,,,,,,,,,,,,,,,,,,,,,,
B FRI 2A,4.415014356,1.827180924,74.53997351,,,,,,,,,,,,,,,1.796888968,,,,,,,,,,
B FRI 2B,10.31592656,3.234548485,174.6312464,,,,,,,,,,,,,,,3.013320086,,,,,,,,,,
B FBI 2C,4.498744447,1.847150551,75.9602033,,,,,,,,,,,,,,,8.781096204,,,,,,,,,,
B FBI 3A,2.696613872,1.417342409,45.3924645,,,,,,,,,,,,,,,11.41219222,,,,,,,,,,
B FBI 3B,3.237057535,1.546238222,54.55946991,,,,,,,,,,,,,,,7.319130985,,,,,,,,,,
B FBI 3C,4.850157729,1.930962618,81.92087539,,,,,,,,,,,,,,,4.496529038,,,,,,,,,,
,,,,,,,,,,,,,,,,,,9.027173387,,,,,,,,,,
,,,,,,,,,,,,,,,,,,-5.240784214,,,,,,,,,,
,,,,,,,,,,,,,,,,,,5.670888883,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,16.39836464,,,,,,,,,,
,,,,,,,,,,,,,,,,,,13.29101626,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.685136534,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.137728839,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.124606501,,,,,,,,,,
,,,,,,,,,,,,,,,,,,6.340945575,,,,,,,,,,
,,,,,,,,,,,,,,,,,,8.101732845,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.415014356,,,,,,,,,,
,,,,,,,,,,,,,,,,,,10.31592656,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.498744447,,,,,,,,,,
,,,,,,,,,,,,,,,,,,2.696613872,,,,,,,,,,
,,,,,,,,,,,,,,,,,,3.237057535,,,,,,,,,,
,,,,,,,,,,,,,,,,,,4.850157729,,,,,,,,,,
